entity1	entity2	left	middle	right	article
Walmart	FedEx	The effort, included companies such as insurer Chubb, retailer 	 (WMT.N) and 	 (FDX.N), which donated delivery services.	620fa722da65adfed100f86d
Schlumberger	Halliburton	Baker Hughes also reported North America revenue in its oilfield services unit fell 15% from a year earlier to $1.04 billion, echoing results from rivals 	 (SLB.N) and 	 (HAL.N).	620fa722da65adfed100f870
Halliburton	Schlumberger	"
The shale slowdown also forced "	 to take a $2.2 billion charge in the fourth quarter, following a $12-billion charge taken by 	 last year.	620fa722da65adfed100f870
Baker Hughes	GE	"
"	 also booked $216 million of restructuring charges related to its separation from 	), up from $116 million a year earlier.	620fa722da65adfed100f870
Baker Hughes	GE	"
The latest patie"	five British nationals staying in the same chalet at a ski resort in Haute-Savoie 	Alps, health officials said, raising fears of further infections at a busy period in the ski season.	620fa723da65adfed100f877
Baker Hughes	GE	"
The latest patients include five British nationals staying "	chalet at a ski resort in Haute-Savoie in the Alps, health officials said, raising	of further infections at a busy period in the ski season.	620fa723da65adfed100f878
Baker Hughes	GE	"
The head of a WHO-led international team"	ng the outbreak will leave for China on Monday or Tuesday. WHO expert Mike Ryan sa	number of new cases in Hubei had stabilized over the last four days, “which may reflect the impact of control measures put in place”.	620fa723da65adfed100f879
Baker Hughes	GE	Across mainland Ch	"ber of cases stood at 34,598, the WHO said.
The virus has spread to 27 countries a"	ons, according to a Reuters count based on official reports, infecting more than 330 people.	620fa723da65adfed100f87a
Baker Hughes	GE	"
Britain has included the city-state in a list of countries from which returning travelers who developed symptoms should self-isolate, while Kuwait has asked its citizens not to travel to Sing"	ond evacuation flight bringing back Singaporeans and family members from Wuhan was	ed to arrive on Sunday.	620fa723da65adfed100f87e
Boeing	Lockheed Martin	"
"	, which has pitched its F/A-18 Block III Super Hornet fighter for the India air force and navy and is competing with 	 F-21, said it plans to push India's armed forces' drive for modernization through a suite of five products - the Super Hornet, KC-46 tanker, P-8I aircraft, AH-64E Apache and CH-47(I)	620fa723da65adfed100f87f
Lockheed Martin	Boeing	"
Boeing, which has pitched its F/A-18 Block III Super Hornet fighter for the India air force and navy and is competing with "	" F-21, said it plans to push India's armed forces' drive for modernization through a suite of five products - the Super Hornet, KC-46 tanker, P-8I aircraft, AH-64E Apache and CH-47(I) Chinook helicopters.
The company said it wants to build a global defense and aerospace ecosystem “that creates jobs and industrial capacity with Make in India,” said Salil Gupte, president, "	 in a statement during the exhibition.	620fa723da65adfed100f87f
Boeing	Lockheed Martin	"
"	" and Lockheed will be competing with Sweden's Saab with its Gripen fighter and France's Dassault Rafale and Russian fighter aircraft.
"	, as part of its fighter jet F-21 proposal for the Indian Air Force, signed an MoU with Bharat Electronics Ltd on Friday to explore industrial opportunities around the F-21 fleet, which is essentially building up a spare and supply ecosystem.	620fa723da65adfed100f87f
Airbus	Lockheed Martin	"
"	" on Thursday signed a memorandum of understanding (MoU) with India's Adani Aerospace and Defense, part of the diversified Adani Group, for aircraft services in India and South Asia.
Boeing, which has pitched its F/A-18 Block III Super Hornet fighter for the India air force and navy and is competing with "	 F-21, said it plans to push India's armed forces' drive for modernization through a suite of five products - the Super Hornet, KC-46 tanker, P-8I aircraft, AH-64E Apache and CH-47(I)	620fa723da65adfed100f87f
Lockheed Martin	Saab	"
Boeing, which has pitched its F/A-18 Block III Super Hornet fighter for the India air force and navy and is competing with "	" F-21, said it plans to push India's armed forces' drive for modernization through a suite of five products - the Super Hornet, KC-46 tanker, P-8I aircraft, AH-64E Apache and CH-47(I) Chinook helicopters.
The company said it wants to build a global defense and aerospace ecosystem “that creates jobs and industrial capacity with Make in India,” said Salil Gupte, president, Boeing India in a statement during the exhibition.
Boeing and Lockheed will be competing with Sweden's "	 with its Gripen fighter and France's Dassault Rafale and Russian fighter aircraft.	620fa723da65adfed100f87f
Saab	Lockheed Martin	"
Boeing and Lockheed will be competing with Sweden's "	" with its Gripen fighter and France's Dassault Rafale and Russian fighter aircraft.
"	, as part of its fighter jet F-21 proposal for the Indian Air Force, signed an MoU with Bharat Electronics Ltd on Friday to explore industrial opportunities around the F-21 fleet, which is essentially building up a spare and supply ecosystem.	620fa723da65adfed100f87f
Boeing	Lockheed Martin	"
"	, which has pitched its F/A-18 Block III Super Hornet fighter for the India air force and navy and is competing with 	 F-21, said it plans to push India's armed forces' drive for modernization through a suite of five products - the Super Hornet, KC-46 tanker, P-8I aircraft, AH-64E Apache and CH-47(I)	620fa723da65adfed100f87f
Lockheed Martin	Boeing	"
Boeing, which has pitched its F/A-18 Block III Super Hornet fighter for the India air force and navy and is competing with "	" F-21, said it plans to push India's armed forces' drive for modernization through a suite of five products - the Super Hornet, KC-46 tanker, P-8I aircraft, AH-64E Apache and CH-47(I) Chinook helicopters.
The company said it wants to build a global defense and aerospace ecosystem “that creates jobs and industrial capacity with Make in India,” said Salil Gupte, president, "	 in a statement during the exhibition.	620fa723da65adfed100f87f
Boeing	Lockheed Martin	"
"	" and Lockheed will be competing with Sweden's Saab with its Gripen fighter and France's Dassault Rafale and Russian fighter aircraft.
"	, as part of its fighter jet F-21 proposal for the Indian Air Force, signed an MoU with Bharat Electronics Ltd on Friday to explore industrial opportunities around the F-21 fleet, which is essentially building up a spare and supply ecosystem.	620fa723da65adfed100f87f
Boeing	Saab	"
"	 and Lockheed will be competing with Sweden's 	 with its Gripen fighter and France's Dassault Rafale and Russian fighter aircraft.	620fa723da65adfed100f87f
Boeing	Dassault	"
"	 and Lockheed will be competing with Sweden's Saab with its Gripen fighter and France's 	 and Russian fighter aircraft.	620fa723da65adfed100f87f
Lockheed Martin	Northrop Grumman	NEW YORK (Reuters)	"ghs on Friday after a U.S. air strike in Iraq ratcheted up tensions in the Middle East and a bigger-than-expected contraction in the U.S. manufacturing sector raised concerns of slowing economic growth.
Friday's decline put the benchmark S&P 500 in the red for the week, snapping a five-week winning streak for the index.
Demand for safe-haven assets soared as Iran vowed revenge for the killing of Qassem Soleimani, head of its elite Quds Force, in an air strike authorized by U.S. President Donald Trump.
In a further blow to U.S. market sentiment, data from the Institute for Supply Management showed that U.S. factory acti"	in December by the most in more than a decade.	620fa724da65adfed100f887
American	United		 (AAL.O) shares dropped 5.0%, while shares of 	) fell 2.1%.	620fa724da65adfed100f887
American	United		 (AAL.O) shares dropped 5.0%, while shares of 	) fell 2.1%.	620fa724da65adfed100f887
Northrop Grumman	Lockheed Martin		 shares climbed 5.3%, and 	 shares rose 3.3%.	620fa724da65adfed100f88c
American	United		 shares dropped 4.4%, while shares of 	 fell 2.0%.	620fa724da65adfed100f88c
Northrop Grumman	Lockheed Martin		 shares climbed 5.3%, and 	 shares rose 3.3%.	620fa724da65adfed100f88c
Northrop Grumman	Lockheed Martin	"
“Markets don't like risk, and with the killing of the Iranian general, we may have an elevated level of counter"	ayne Wicker, chief investm	Vantagepoint Investment Advisers in Washington.	620fa724da65adfed100f88f
American	United		 (AAL.O) shares dropped 4.4%, while shares of 	) fell 2.0%.	620fa724da65adfed100f88f
American	United		 (AAL.O) shares dropped 4.4%, while shares of 	) fell 2.0%.	620fa724da65adfed100f88f
Samsung	Qualcomm	"
Harman, a unit of "	" (005930.KS), is also pushing a similar digital platform to control the flow of data in and out of the car. A centralized system, said Chief Executive Dinesh Paliwal, would help protect the car against hackers, who would have only one way in rather than dozens.
Harman, which supplies some of the technology that automakers including Tesla use to deliver the over-the-air upgrades, plans to sell its new vehicle computing brain with cybersecurity features built in - but some car buyers will have to pay to turn it on.
Slideshow (3 Images)
"	 (QCOM.O), which already provides the cellular modem chips that allow vehicles to connect to the internet, introduced a more comprehensive computing system that can manage in-vehicle entertainment and help the car drive itself.	620fa724da65adfed100f891
Samsung	Tesla	"
Harman, a unit of "	" (005930.KS), is also pushing a similar digital platform to control the flow of data in and out of the car. A centralized system, said Chief Executive Dinesh Paliwal, would help protect the car against hackers, who would have only one way in rather than dozens.
Harman, which supplies some of the technology that automakers including "	 use to deliver the over-the-air upgrades, plans to sell its new vehicle computing brain with cybersecurity features built in - but some car buyers will have to pay to turn it on.	620fa724da65adfed100f891
General	Tesla	"
“It's absolutely huge,” "	") President Mark Reuss said in December of the opportunities to generate revenue after a vehicle is sold by providing streamed services and over-the-air upgrades facilitated by GM's new high-capacity onboard electrical system.
The pivot comes at a time when global automakers are looking for fresh revenue sources as sales slow and as rising costs to comply with tougher emissions standards threaten profit margins. Shares of legacy automakers such as Ford (F.N) and GM badly lagged broader market indexes in 2019. The contrast is "	 (TSLA.O), whose market cap on Wednesday for the first time exceeded Ford and GM's combined market values.	620fa724da65adfed100f891
Microsoft	General	Cloud computing giants Amazon (AMZN.O) and 	" (MSFT.O) were in the forefront, chasing the opportunity to manage torrents of data flowing to and from connected vehicles.
“It's absolutely huge,” "	) President Mark Reuss said in December of the opportunities to generate revenue after a vehicle is sold by providing streamed services and over-the-air upgrades facilitated by GM's new high-capacity onboard electrical system.	620fa724da65adfed100f891
